Cartera,IMPORTE,Des_Estado,Nombre
CA06,11557,Cerrada,REPUESTOS
CA04,11618,Cerrada,VALV INTEGRAL
CA05,11675,Cerrada,VA1/VAP/VHP
CA03,11691,Cerrada,TUBING
CA04,11719,Cerrada,CONECTORES
CA04,11719,Cerrada,SOPORTES PARA CAÑERIAS
CA06,11728,Cerrada,ARTICULO ESPECIAL
CA06,11728,Cerrada,ESF. ABAC 2 VIAS
CA05,11792,Cerrada,CONECTORES
CA06,11883,Cerrada,CONECTORES
CA06,11883,Cerrada,SOPORTES PARA CAÑERIAS
CA06,11883,Cerrada,TUBING
CA04,11932,Cerrada,VALV DE ALIVIO
CA05,11988,Cerrada,VA2
CA04,11997,Cerrada,VA1/VAP/VHP
CA04,12007,Cerrada,VA3
CA04,12100,Cerrada,VALV DE ALIVIO
CA04,12162,Cerrada,CONECTORES
CA06,12184,Cerrada,ESF. ABAC 2 VIAS
CA04,12283,Cerrada,VALV DE ALIVIO
CA06,12317,Cerrada,CONECTORES
CA06,12321,Cerrada,ARTICULO ESPECIAL
CA06,12325,Cerrada,CONECTORES
CA04,12349,Cerrada,ACC PARA CAÑERIAS
CA04,12349,Cerrada,VA1/VAP/VHP
CA04,12351,Cerrada,ESF. ABAC 3 VIAS TRUNNION
CA05,12379,Cerrada,ACCESORIOS VARIOS
CA04,12418,Cerrada,ESF. ABAC 2 VIAS
CA04,12418,Cerrada,VALV INTEGRAL
CA04,12422,Cerrada,REPUESTOS
CA06,12489,Cerrada,ACC PARA CAÑERIAS
CA06,12489,Cerrada,CONECTORES
CA06,12489,Cerrada,VALV DE RETENCION
CA04,12506,Cerrada,VALV DE ALIVIO
CA04,12595,Cerrada,VALV DE RETENCION
CA04,12650,Cerrada,CONECTORES
CA03,12670,Cerrada,ACC. ALTA PRESION
CA06,12727,Cerrada,REPUESTOS
CA04,12760,Cerrada,ACCESORIOS VARIOS
CA06,12772,Cerrada,ACC PARA CAÑERIAS
CA06,12772,Cerrada,CONECTORES
CA05,12785,Cerrada,CONECTORES
CA04,12789,Cerrada,VA1/VAP/VHP
CA06,12790,Cerrada,CONECTORES
CA04,12837,Cerrada,VA1/VAP/VHP
CA05,12839,Cerrada,CONECTORES
CA04,12973,Cerrada,ACC. ALTA PRESION
CA05,13014,Cerrada,ACC PARA CAÑERIAS
CA05,13014,Cerrada,CONECTORES
CA05,13014,Cerrada,TUBING
CA06,13022,Cerrada,VA1/VAP/VHP
CA05,13059,Cerrada,VA2
CA04,13131,Cerrada,TUBING
CA04,13131,Cerrada,CONECTORES
CA04,13131,Cerrada,VF2
CA05,13134,Cerrada,TUBING
CA04,13187,Cerrada,VA2
CA04,13192,Cerrada,VA3
CA04,13209,Cerrada,VA1/VAP/VHP
CA04,13257,Cerrada,VALV ESFERICAS  RVTA.
CA04,13257,Cerrada,VF2
CA04,13315,Cerrada,VA1/VAP/VHP
CA03,13315,Cerrada,CONECTORES
CA03,13315,Cerrada,ESF. ABAC 2 VIAS
CA03,13315,Cerrada,VALV ESFERICAS  RVTA.
CA05,13322,Cerrada,ESF. ABAC 2 VIAS
CA06,13484,Cerrada,REPUESTOS
CA05,13493,Cerrada,ACC PARA CAÑERIAS
CA05,13493,Cerrada,VALV INTEGRAL
CA04,13528,Cerrada,CONECTORES
CA05,13663,Cerrada,CONECTORES
CA05,13663,Cerrada,VALV DE RETENCION
CA05,13693,Cerrada,CONECTORES
CA04,13719,Cerrada,CONECTORES
CA04,13734,Cerrada,VALV DE ALIVIO
CA06,13741,Cerrada,VALV DE ALIVIO
CA06,13780,Cerrada,ACC PARA CAÑERIAS
CA06,13780,Cerrada,REPUESTOS
CA04,13814,Cerrada,VALV INTEGRAL
CA99,13920,Cerrada,VA1/VAP/VHP
CA99,13962,Cerrada,CONECTORES
CA99,13962,Cerrada,TUBING
CA99,13962,Cerrada,VA1/VAP/VHP
CA04,13980,Cerrada,CONECTORES
CA05,14020,Cerrada,MANIF 3 VIAS
CA04,14040,Cerrada,CONECTORES
CA04,14040,Cerrada,TUBING
CA04,14041,Cerrada,CONECTORES
CA06,14140,Cerrada,ACC PARA CAÑERIAS
CA06,14140,Cerrada,CONECTORES
CA04,14157,Cerrada,CONECTORES
CA04,14157,Cerrada,Tapones Purgadores
CA02,14183,Cerrada,VALV INTEGRAL
CA06,14224,Cerrada,ACC PARA CAÑERIAS
CA06,14224,Cerrada,CONECTORES
CA04,14297,Cerrada,CONECTORES
CA04,14297,Cerrada,TUBING
CA06,14299,Cerrada,VALV DE RETENCION
CA04,14318,Cerrada,CONECTORES
CA04,14318,Cerrada,VALV DE RETENCION
CA04,14330,Cerrada,VALV DE ALIVIO
CA06,14360,Cerrada,VA1/VAP/VHP
CA06,14390,Cerrada,CONECTORES
CA06,14395,Cerrada,VALV DE RETENCION
CA06,14430,Cerrada,CONECTORES
CA04,14444,Cerrada,ACC. ALTA PRESION
CA04,14515,Cerrada,CONECTORES
CA04,14515,Cerrada,VA2
CA04,14527,Cerrada,VALV DE RETENCION
CA06,14566,Cerrada,HERRAMIENTAS STD
CA05,14570,Cerrada,ACC PARA CAÑERIAS
CA04,14589,Cerrada,ACC PARA CAÑERIAS
CA04,14589,Cerrada,CONECTORES
CA04,14610,Cerrada,ACC. ALTA PRESION
CA04,14690,Cerrada,ACCESORIOS VARIOS
CA04,14695,Cerrada,CONECTORES
CA03,14822,Cerrada,VALV INTEGRAL
CA06,14937,Cerrada,VM
CA03,15029,Cerrada,CONECTORES
CA03,15029,Cerrada,VA1/VAP/VHP
CA03,15029,Cerrada,VA2
